Company,Title,Location,Salary
metacareers,Game Sourcing Lead,"Los Angeles, CA; Bellevue, WA; Burlingame, CA; New York, NY; Remote, US","$152,000/year to $214,000/year + bonus + equity + benefits"
metacareers,Third-Party Quality Assurance Manager,"Remote, US","$129,000/year to $185,000/year + bonus + equity + benefits"
metacareers,"ASIC Engineering Manager, Design Verification","Sunnyvale, CA","$202,000/year to $273,000/year + bonus + equity + benefits"
metacareers,Product Management Leader,"Menlo Park, CA; New York, NY; Remote, US","$197,000/year to $270,000/year + bonus + equity + benefits"
metacareers,"QA Engineering Lead, Enterprise Products","Durham, NC; Austin, TX; Menlo Park, CA; New York, NY; San Francisco, CA; Fremont, CA","$129,000/year to $180,000/year + bonus + equity + benefits"
metacareers,ISP Architect,"Sunnyvale, CA; Redmond, WA; Austin, TX; Remote, US","$166,000/year to $237,000/year + bonus + equity + benefits"
metacareers,Technical Program Manager - Developer Infrastructure,"Seattle, WA; Burlingame, CA; Remote, US","$132,000/year to $196,000/year + bonus + equity + benefits"
metacareers,Server Capacity and AI Productivity TPM,"Remote, US","$167,000/year to $228,000/year + bonus + equity + benefits"
metacareers,EH&S Coordinator ,"Clonee, Ireland",
metacareers,"Optical Engineer, Design Validation","Sunnyvale, CA; Redmond, WA","$129,000/year to $196,000/year + bonus + equity + benefits"
metacareers,Lead Optical Engineer ,"Sunnyvale, CA; Redmond, WA; Remote, US","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,"Electrical Engineer, Analog/Power Systems","Sunnyvale, CA","$129,000/year to $196,000/year + bonus + equity + benefits"
metacareers,"Thermal Engineer, Reality Labs","Sunnyvale, CA; Redmond, WA","$129,000/year to $196,000/year + bonus + equity + benefits"
metacareers,Silicon Prototyping FPGA Engineer,"Sunnyvale, CA; Austin, TX; Burlingame, CA","$136,000/year to $195,000/year + bonus + equity + benefits"
metacareers,Data Center Logistics Analyst,"Newton County, GA; Huntsville, AL","$80,330/year to $133,000/year + bonus + equity + benefits"
metacareers,Silicon Engineering Manager,"Tel Aviv, Israel",
metacareers,Data Center Site Coordinator,"Ashburn, VA","$84,843/year to $133,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, CV and Machine Perception (PhD)","Sunnyvale, CA; Redmond, WA","$7,650/month to $10,250/month + benefits"
metacareers,Electrical Engineer,"Redmond, WA","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,Process Application Engineer - Lithography ,"Redmond, WA","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,"Sales Manager, B2B, Reality Labs","London, United Kingdom",
metacareers,Regional Environmental Engineer,"Redmond, WA","$136,000/year to $194,000/year + bonus + equity + benefits"
metacareers,"Data Scientist, Machine Learning","Sunnyvale, CA; Menlo Park, CA; Seattle, WA; New York, NY; San Francisco, CA; Remote, US","$197,000/year to $269,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Device Research (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Eye Tracking Applications Research (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Research Scientist Intern, Machine Perception for Input and Interaction (PhD)","Sausalito, CA; Redmond, WA","$7,650/month to $10,250/month + benefits"
metacareers,"Engineering Manager, Computer Vision","Redmond, WA; Seattle, WA; Burlingame, CA; Remote, US","$173,000/year to $241,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Optical Design (PhD)","Redmond, WA","$7,313/month to $10,250/month + benefits"
metacareers,"Business Lead, RL Sales","Burlingame, CA","$142,000/year to $201,000/year + bonus + equity + benefits"
metacareers,Research Product Manager,"Pittsburgh, PA","$171,000/year to $232,000/year + bonus + equity + benefits"
metacareers,Display Module Process Engineer,"Sunnyvale, CA; Redmond, WA","$129,000/year to $196,000/year + bonus + equity + benefits"
metacareers,Data Center Site Manager,"Prineville, OR; Altoona, IA","$202,000/year to $258,000/year + bonus + equity + benefits"
